Date : 2022-01-25 19:15:54
Directory : c:\Users\1\Desktop\LMS-UI
Total : 247 files,  64752 codes, 557 comments, 748 blanks, all 66057 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     43,966 |          0 |          2 |     43,968 |
| JavaScript |        167 |     19,633 |        466 |        545 |     20,644 |
| CSS        |         17 |        845 |         40 |        128 |      1,013 |
| HTML       |          2 |        180 |         51 |         25 |        256 |
| Markdown   |          3 |         74 |          0 |         48 |        122 |
| XML        |         54 |         54 |          0 |          0 |         54 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        247 |     64,752 |        557 |        748 |     66,057 |
| ckeditor5                                                                          |         70 |        858 |         51 |        148 |      1,057 |
| ckeditor5\build                                                                    |         63 |         63 |          5 |          0 |         68 |
| ckeditor5\build\translations                                                       |         62 |         62 |          0 |          0 |         62 |
| ckeditor5\sample                                                                   |          2 |        515 |         31 |         85 |        631 |
| ckeditor5\src                                                                      |          1 |         90 |          6 |          5 |        101 |
| public                                                                             |         41 |        126 |         48 |         17 |        191 |
| public\images                                                                      |         39 |         39 |          0 |          0 |         39 |
| public\images\academy                                                              |         28 |         28 |          0 |          0 |         28 |
| src                                                                                |        133 |     19,866 |        458 |        581 |     20,905 |
| src\blog                                                                           |         16 |      1,435 |         22 |         81 |      1,538 |
| src\blog\ExtraPages                                                                |          4 |        576 |         20 |         35 |        631 |
| src\blog\common                                                                    |          5 |        264 |          0 |         28 |        292 |
| src\blog\posts                                                                     |          4 |        460 |          0 |         12 |        472 |
| src\blog\utils                                                                     |          3 |        135 |          2 |          6 |        143 |
| src\contexts                                                                       |          1 |         51 |          0 |          6 |         57 |
| src\pages                                                                          |        104 |     18,029 |        426 |        471 |     18,926 |
| src\pages\ExtraPages                                                               |          5 |        927 |          0 |         31 |        958 |
| src\pages\aboutus                                                                  |          3 |        384 |          9 |         12 |        405 |
| src\pages\academy                                                                  |         83 |     14,125 |        332 |        312 |     14,769 |
| src\pages\academy\Navbar                                                           |          1 |         89 |          0 |          5 |         94 |
| src\pages\academy\becomeTeacher                                                    |          1 |         59 |          0 |          1 |         60 |
| src\pages\academy\certificates                                                     |          2 |        436 |          0 |         12 |        448 |
| src\pages\academy\comments                                                         |          1 |        159 |          0 |          4 |        163 |
| src\pages\academy\common                                                           |         17 |        766 |         35 |         10 |        811 |
| src\pages\academy\courses                                                          |          9 |      1,617 |         43 |         51 |      1,711 |
| src\pages\academy\courses\teacher                                                  |          3 |        618 |          3 |         15 |        636 |
| src\pages\academy\discounts                                                        |          4 |        734 |          4 |         16 |        754 |
| src\pages\academy\payment                                                          |          1 |        184 |          0 |          2 |        186 |
| src\pages\academy\post                                                             |          5 |      1,446 |          4 |         31 |      1,481 |
| src\pages\academy\prerequisities                                                   |          5 |        881 |          0 |          9 |        890 |
| src\pages\academy\products                                                         |          4 |        685 |         29 |         18 |        732 |
| src\pages\academy\quiz                                                             |         11 |      3,026 |        119 |         53 |      3,198 |
| src\pages\academy\quiz\student                                                     |          2 |        753 |          3 |         11 |        767 |
| src\pages\academy\quiz\teacher                                                     |          6 |      1,852 |        101 |         28 |      1,981 |
| src\pages\academy\recipts                                                          |          4 |        804 |          0 |         12 |        816 |
| src\pages\academy\tags                                                             |          3 |        365 |          1 |          6 |        372 |
| src\pages\academy\tickets                                                          |          2 |        113 |          0 |          9 |        122 |
| src\pages\academy\videoUpload                                                      |          8 |      1,680 |         73 |         38 |      1,791 |
| src\pages\academy\videoUpload\teacher                                              |          1 |        272 |          3 |          4 |        279 |
| src\pages\academy\welcome                                                          |          1 |        243 |          0 |          6 |        249 |
| src\pages\app                                                                      |          4 |        237 |          1 |         23 |        261 |
| src\pages\authentication                                                           |          4 |      1,348 |         61 |         33 |      1,442 |
| src\pages\landing                                                                  |          5 |      1,008 |         23 |         60 |      1,091 |
| src\redux                                                                          |          3 |         99 |          1 |          5 |        105 |
| src\utils                                                                          |          4 |        160 |          2 |          7 |        169 |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                           | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\1\Desktop\LMS-UI\README.md                                                | Markdown   |          2 |          0 |          1 |          3 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\LICENSE.md                                     | Markdown   |         35 |          0 |         15 |         50 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\README.md                                      | Markdown   |         37 |          0 |         32 |         69 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\ckeditor.js                              | JavaScript |          1 |          5 |          0 |          6 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\af.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ar.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ast.js                      | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\az.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\bg.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ca.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\cs.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\da.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\de-ch.js                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\de.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\el.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\en-au.js                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\en-gb.js                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\eo.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\es.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\et.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\eu.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\fa.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\fi.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\fr.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\gl.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\gu.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\he.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\hi.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\hr.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\hu.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\id.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\it.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ja.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\km.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\kn.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ko.js                       | JavaScript |          1 |          0 |          0 |          1 |
